yyyymm,Food,Beer,Smoke,Games,Books,Hshld,Clths,Hlth,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal,Oil,Util,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin,Other,Food.lead,Beer.lead,Smoke.lead,Games.lead,Books.lead,Hshld.lead,Clths.lead,Hlth.lead,Chems.lead,Txtls.lead,Cnstr.lead,Steel.lead,FabPr.lead,ElcEq.lead,Autos.lead,Carry.lead,Mines.lead,Coal.lead,Oil.lead,Util.lead,Telcm.lead,Servs.lead,BusEq.lead,Paper.lead,Trans.lead,Whlsl.lead,Rtail.lead,Meals.lead,Fin.lead,Other.lead,3month,10year,indprod,CPI,curve,Mkt-RF,month
195912,2.0100000000000002,0.3499999999999999,-3.02,1.64,7.29,0.6699999999999999,1.8699999999999999,-1.97,3.08,0.74,0.72,2.18,3.1100000000000003,5.53,5.28,-4.88,4.4,2.0700000000000003,3.9299999999999997,1.7899999999999998,3.9699999999999998,-1.9600000000000002,0.6699999999999999,1.46,2.0300000000000002,-0.30000000000000004,2.41,2.71,0.14999999999999997,-6.5,-4.49,-5.71,-2.05,1.21,-5.47,-7.84,-8.53,-6.68,-10.03,-4.7700000000000005,-6.67,-9.38,-4.42,-12.3,-11.71,-5.03,-3.81,-7.91,-7.82,-2.4,0.6199999999999999,-6.18,-7.93,-9.41,-4.31,-5.33,-6.09,-10.08,-4.68,-3.98,0.33999999999999986,0.16000000000000014,0.08819675296908858,0.01730103806228378,-0.17999999999999972,2.45,12
196001,-4.49,-5.71,-2.05,1.21,-5.47,-7.84,-8.53,-6.68,-10.03,-4.7700000000000005,-6.67,-9.38,-4.42,-12.3,-11.71,-5.03,-3.81,-7.91,-7.82,-2.4,0.6199999999999999,-6.18,-7.93,-9.41,-4.31,-5.33,-6.09,-10.08,-4.68,-3.98,3.35,-2.14,2.27,4.2299999999999995,2.39,9.31,1.44,-0.019999999999999962,-0.74,0.32,3.07,-2.03,-2.13,5.11,-2.15,2.05,1.57,-2.97,-3.74,2.48,8.07,9.13,5.09,3.0,-0.94,1.42,4.0,1.81,-0.98,6.32,-0.14000000000000057,0.02999999999999936,0.10036560006886153,0.010344827586207028,0.16999999999999993,-6.98,1
196002,3.35,-2.14,2.27,4.2299999999999995,2.39,9.31,1.44,-0.019999999999999962,-0.74,0.32,3.07,-2.03,-2.13,5.11,-2.15,2.05,1.57,-2.97,-3.74,2.48,8.07,9.13,5.09,3.0,-0.94,1.42,4.0,1.81,-0.98,6.32,-1.67,-2.94,-0.17999999999999997,-0.6499999999999999,2.1799999999999997,-0.5599999999999999,-2.5900000000000003,1.2600000000000002,-2.75,-6.79,-0.78,-5.58,-3.58,-0.89,-6.64,-8.19,-2.99,-5.47,-1.0699999999999998,1.42,-0.20999999999999996,-0.31,3.34,-2.43,-4.989999999999999,-1.37,-0.12999999999999998,-3.88,0.050000000000000044,-2.43,-0.3899999999999997,-0.22999999999999954,0.06962711502914831,0.01730103806228378,0.16000000000000014,1.17,2
196003,-1.67,-2.94,-0.17999999999999997,-0.6499999999999999,2.1799999999999997,-0.5599999999999999,-2.5900000000000003,1.2600000000000002,-2.75,-6.79,-0.78,-5.58,-3.58,-0.89,-6.64,-8.19,-2.99,-5.47,-1.0699999999999998,1.42,-0.20999999999999996,-0.31,3.34,-2.43,-4.989999999999999,-1.37,-0.12999999999999998,-3.88,0.050000000000000044,-2.43,1.1700000000000002,-2.16,1.35,6.46,-1.17,-1.27,0.21000000000000002,1.49,-5.53,-1.1,-1.45,-5.53,-4.1000000000000005,-1.11,-2.31,-1.3599999999999999,-0.81,-2.9699999999999998,-4.48,1.1800000000000002,-1.24,7.14,1.77,0.41,-2.13,0.45,-0.53,8.860000000000001,-0.64,0.55,-0.6499999999999999,-0.2400000000000002,0.044971922662485175,0.01730103806228378,0.4099999999999997,-1.63,3
196004,1.1700000000000002,-2.16,1.35,6.46,-1.17,-1.27,0.21000000000000002,1.49,-5.53,-1.1,-1.45,-5.53,-4.1000000000000005,-1.11,-2.31,-1.3599999999999999,-0.81,-2.9699999999999998,-4.48,1.1800000000000002,-1.24,7.14,1.77,0.41,-2.13,0.45,-0.53,8.860000000000001,-0.64,0.55,8.200000000000001,-0.52,2.44,7.279999999999999,11.67,7.74,1.7399999999999998,13.5,3.4,2.1,3.18,2.35,0.9199999999999999,6.48,0.27,9.27,-1.3900000000000001,2.41,-3.85,1.25,3.05,-1.75,11.9,2.85,0.8999999999999999,1.65,3.11,0.8,-0.45,1.02,-0.08000000000000007,0.03000000000000025,0.015062553342969132,0.01724137931034475,0.11000000000000032,-1.71,4
196005,8.200000000000001,-0.52,2.44,7.279999999999999,11.67,7.74,1.7399999999999998,13.5,3.4,2.1,3.18,2.35,0.9199999999999999,6.48,0.27,9.27,-1.3900000000000001,2.41,-3.85,1.25,3.05,-1.75,11.9,2.85,0.8999999999999999,1.65,3.11,0.8,-0.45,1.02,5.39,0.47,4.7299999999999995,2.24,0.020000000000000018,6.38,-1.59,-0.4,0.44999999999999996,4.04,2.54,1.32,1.6300000000000001,-0.19999999999999998,-0.29,0.36,-1.41,-1.34,3.38,5.55,-0.5800000000000001,-8.07,2.3899999999999997,3.5,2.17,5.96,3.41,1.03,3.7199999999999998,6.41,0.06000000000000005,0.0699999999999994,-0.0011408145415827686,0.01724137931034475,0.009999999999999343,3.12,5
196006,5.39,0.47,4.7299999999999995,2.24,0.020000000000000018,6.38,-1.59,-0.4,0.44999999999999996,4.04,2.54,1.32,1.6300000000000001,-0.19999999999999998,-0.29,0.36,-1.41,-1.34,3.38,5.55,-0.5800000000000001,-8.07,2.3899999999999997,3.5,2.17,5.96,3.41,1.03,3.7199999999999998,6.41,-2.11,-0.79,4.6000000000000005,-4.72,0.22999999999999998,-0.6,-1.1,-3.9899999999999998,-6.8,-3.1399999999999997,-5.17,-2.38,-3.8899999999999997,-6.96,-1.3199999999999998,1.75,2.42,2.04,0.54,-1.3599999999999999,-0.03,2.8400000000000003,-2.02,-4.1000000000000005,-3.11,-6.16,-2.9899999999999998,-1.25,0.09,-5.95,-0.8300000000000001,-0.1999999999999993,-0.01482628806806685,0.01718213058419238,0.6300000000000008,2.08,6
196007,-2.11,-0.79,4.6000000000000005,-4.72,0.22999999999999998,-0.6,-1.1,-3.9899999999999998,-6.8,-3.1399999999999997,-5.17,-2.38,-3.8899999999999997,-6.96,-1.3199999999999998,1.75,2.42,2.04,0.54,-1.3599999999999999,-0.03,2.8400000000000003,-2.02,-4.1000000000000005,-3.11,-6.16,-2.9899999999999998,-1.25,0.09,-5.95,4.57,3.24,5.2,7.16,3.63,5.09,3.34,2.29,1.1700000000000002,-0.8400000000000001,0.57,0.63,0.7999999999999999,-1.04,2.89,6.93,6.94,3.47,3.9400000000000004,4.29,6.94,5.69,2.71,1.1800000000000002,1.98,4.51,2.85,2.0500000000000003,3.47,3.48,-0.16000000000000014,-0.25000000000000044,0.005841656937778383,0.013698630136986356,-0.0900000000000003,-2.37,7
196008,4.57,3.24,5.2,7.16,3.63,5.09,3.34,2.29,1.1700000000000002,-0.8400000000000001,0.57,0.63,0.7999999999999999,-1.04,2.89,6.93,6.94,3.47,3.9400000000000004,4.29,6.94,5.69,2.71,1.1800000000000002,1.98,4.51,2.85,2.0500000000000003,3.47,3.48,-3.8800000000000003,-5.0,-2.09,-2.33,-6.2,-9.18,-4.23,-8.870000000000001,-6.7,-5.25,-5.03,-8.24,-5.69,-10.46,-5.9,-8.73,-2.21,-5.19,-1.08,-4.71,-6.07,-3.5300000000000002,-7.61,-7.37,-7.07,-8.44,-8.57,-1.9,-5.78,-4.21,0.0,-0.10000000000000009,0.039899747130037744,0.013698630136986356,-0.10000000000000009,3.01,8
196009,-3.8800000000000003,-5.0,-2.09,-2.33,-6.2,-9.18,-4.23,-8.870000000000001,-6.7,-5.25,-5.03,-8.24,-5.69,-10.46,-5.9,-8.73,-2.21,-5.19,-1.08,-4.71,-6.07,-3.5300000000000002,-7.61,-7.37,-7.07,-8.44,-8.57,-1.9,-5.78,-4.21,1.02,0.54,3.8699999999999997,0.11000000000000001,2.38,6.48,-3.5,-3.7100000000000004,-1.59,-3.06,-1.41,-2.35,-1.42,-3.58,-1.24,1.04,3.19,-1.63,2.28,-0.54,-0.07999999999999999,4.62,-3.4000000000000004,-1.8499999999999999,-1.02,-4.22,0.31000000000000005,-4.54,-0.4,0.38,0.18000000000000016,0.0,0.030264602424215248,0.010238907849829282,-0.18000000000000016,-5.99,9
